"Страна","Первый_год","Последний_год","Число_лет","Всего_студентов","Среднее_число","Мин_число","Макс_число","Размах","Ст_отклонение","Коэффициент_вариации"
Côte d'Ivoire,2008,2024,14,4,0,0,1,1,0.5,1.64
Turkmenistan,2014,2021,4,4,1,1,1,0,0.0,0.00
Nicaragua,2023,2023,1,4,4,4,4,0,,
Ghana,2012,2024,13,4,0,0,2,2,0.6,2.05
Congo,2003,2013,3,3,1,0,3,3,1.7,1.73
Barbados,2001,2011,5,3,1,0,1,1,0.5,0.91
El Salvador,2001,2023,21,2,0,0,1,1,0.3,3.16
Guatemala,2019,2023,2,2,1,0,2,2,1.4,1.41
Rwanda,2012,2024,11,2,0,0,2,2,0.6,3.32
Trinidad and Tobago,2000,2023,9,2,0,0,1,1,0.4,1.98
Senegal,2023,2024,2,2,1,0,2,2,1.4,1.41
Guyana,2010,2010,1,1,1,1,1,0,,
Benin,2014,2022,9,1,0,0,1,1,0.3,3.00
Sri Lanka,2013,2023,11,1,0,0,1,1,0.3,3.32
Sint Maarten (Dutch part),2012,2017,4,1,0,0,1,1,0.5,2.00
Honduras,2003,2024,10,1,0,0,1,1,0.3,3.16
