"Страна","Год","Число_студентов","Темп_роста"
North Macedonia,2011,0,"0%"
North Macedonia,2012,1,рост с 0 до 1 студентов
North Macedonia,2013,1,"0.0%"
North Macedonia,2014,0,-100.0%
North Macedonia,2015,1,рост с 0 до 1 студентов
North Macedonia,2017,5,"400.0%"
North Macedonia,2018,1,-80.0%
North Macedonia,2019,3,"200.0%"
North Macedonia,2020,0,-100.0%
North Macedonia,2021,0,"0%"
North Macedonia,2022,0,"0%"
North Macedonia,2023,0,"0%"
Norway,2000,339,—
Norway,2001,335,-1.2%
Norway,2002,458,"36.7%"
Norway,2003,544,"18.8%"
Norway,2004,674,"23.9%"
Norway,2005,750,"11.3%"
Norway,2006,772,"2.9%"
Norway,2007,798,"3.4%"
Norway,2008,868,"8.8%"
Norway,2009,943,"8.6%"
Norway,2010,894,-5.2%
Norway,2011,1004,"12.3%"
Norway,2012,1061,"5.7%"
Norway,2013,624,-41.2%
Norway,2014,608,-2.6%
Norway,2015,548,-9.9%
Norway,2016,516,-5.8%
Norway,2017,369,-28.5%
Norway,2018,481,"30.4%"
Norway,2019,227,-52.8%
Norway,2020,306,"34.8%"
Norway,2021,272,-11.1%
Norway,2022,285,"4.8%"
Norway,2023,251,-11.9%
Norway,2024,242,-3.6%
Oman,2007,0,—
Oman,2008,0,"0%"
Oman,2009,0,"0%"
Oman,2010,0,"0%"
Oman,2011,0,"0%"
Oman,2013,1,рост с 0 до 1 студентов
Oman,2014,0,-100.0%
Oman,2015,0,"0%"
Oman,2016,1,рост с 0 до 1 студентов
Oman,2017,3,"200.0%"
Oman,2018,3,"0.0%"
Oman,2019,3,"0.0%"
Oman,2020,3,"0.0%"
Oman,2021,5,"66.7%"
Oman,2023,1,-80.0%
Oman,2024,3,"200.0%"
Panama,2019,2,—
Panama,2020,4,"100.0%"
Panama,2021,5,"25.0%"
Panama,2022,6,"20.0%"
Philippines,2001,2,—
Philippines,2002,3,"50.0%"
Philippines,2003,2,-33.3%
Philippines,2004,0,-100.0%
Philippines,2005,1,рост с 0 до 1 студентов
Philippines,2006,0,-100.0%
Philippines,2008,1,рост с 0 до 1 студентов
Philippines,2024,34,"3300.0%"
Poland,2000,262,—
Poland,2001,289,"10.3%"
Poland,2002,291,"0.7%"
Poland,2003,346,"18.9%"
Poland,2004,381,"10.1%"
Poland,2005,452,"18.6%"
Poland,2006,456,"0.9%"
Poland,2007,488,"7.0%"
Poland,2008,459,-5.9%
Poland,2009,494,"7.6%"
Poland,2010,543,"9.9%"
Poland,2011,476,-12.3%
Poland,2012,553,"16.2%"
Poland,2013,585,"5.8%"
Poland,2014,754,"28.9%"
Poland,2015,898,"19.1%"
Poland,2016,977,"8.8%"
Poland,2017,1042,"6.7%"
Poland,2018,799,-23.3%
Poland,2019,792,-0.9%
Poland,2020,1038,"31.1%"
Poland,2021,1431,"37.9%"
Poland,2022,1570,"9.7%"
Poland,2023,1305,-16.9%
Poland,2024,1118,-14.3%
Portugal,2000,10,—
Portugal,2002,18,"80.0%"
Portugal,2003,28,"55.6%"
Portugal,2004,37,"32.1%"
Portugal,2005,55,"48.6%"
Portugal,2006,65,"18.2%"
Portugal,2007,85,"30.8%"
Portugal,2008,60,-29.4%
Portugal,2009,50,-16.7%
Portugal,2010,55,"10.0%"
Portugal,2011,83,"50.9%"
Portugal,2012,111,"33.7%"
Portugal,2013,106,-4.5%
Portugal,2014,81,-23.6%
Portugal,2015,90,"11.1%"
Portugal,2016,82,-8.9%
Portugal,2017,99,"20.7%"
Portugal,2018,88,-11.1%
Portugal,2019,95,"8.0%"
Portugal,2020,129,"35.8%"
Portugal,2021,130,"0.8%"
Portugal,2022,140,"7.7%"
Portugal,2023,211,"50.7%"
Qatar,2002,2,—
Qatar,2003,0,-100.0%
Qatar,2004,3,рост с 0 до 3 студентов
Qatar,2005,0,-100.0%
Qatar,2008,5,рост с 0 до 5 студентов
Qatar,2009,4,-20.0%
Qatar,2010,6,"50.0%"
Qatar,2011,9,"50.0%"
Qatar,2012,4,-55.6%
Qatar,2013,5,"25.0%"
Qatar,2014,6,"20.0%"
Qatar,2015,8,"33.3%"
Qatar,2016,4,-50.0%
Qatar,2017,8,"100.0%"
Qatar,2018,5,-37.5%
Qatar,2019,8,"60.0%"
Qatar,2020,12,"50.0%"
Qatar,2021,16,"33.3%"
Qatar,2022,16,"0.0%"
Qatar,2023,25,"56.3%"
Qatar,2024,26,"4.0%"
Romania,2000,25,—
Romania,2001,19,-24.0%
Romania,2002,12,-36.8%
Romania,2003,9,-25.0%
Romania,2004,9,"0.0%"
Romania,2005,16,"77.8%"
Romania,2006,16,"0.0%"
Romania,2007,14,-12.5%
Romania,2008,2,-85.7%
Romania,2009,14,"600.0%"
Romania,2010,15,"7.1%"
Romania,2011,11,-26.7%
Romania,2013,25,"127.3%"
Romania,2014,22,-12.0%
Romania,2015,15,-31.8%
Romania,2016,25,"66.7%"
Romania,2017,35,"40.0%"
Romania,2018,30,-14.3%
Romania,2019,27,-10.0%
Romania,2020,36,"33.3%"
Romania,2021,44,"22.2%"
Romania,2022,46,"4.5%"
Romania,2023,58,"26.1%"
Rwanda,2012,2,—
Rwanda,2013,0,-100.0%
Rwanda,2014,0,"0%"
Rwanda,2015,0,"0%"
Rwanda,2017,0,"0%"
Rwanda,2018,0,"0%"
Rwanda,2019,0,"0%"
Rwanda,2020,0,"0%"
Rwanda,2022,0,"0%"
Rwanda,2023,0,"0%"
Rwanda,2024,0,"0%"
Saudi Arabia,2003,120,—
Saudi Arabia,2004,148,"23.3%"
Saudi Arabia,2005,116,-21.6%
Saudi Arabia,2006,0,-100.0%
Saudi Arabia,2007,78,рост с 0 до 78 студентов
Saudi Arabia,2008,83,"6.4%"
Saudi Arabia,2009,88,"6.0%"
Saudi Arabia,2010,119,"35.2%"
Saudi Arabia,2011,225,"89.1%"
Saudi Arabia,2012,300,"33.3%"
Saudi Arabia,2013,520,"73.3%"
Saudi Arabia,2014,601,"15.6%"
Saudi Arabia,2015,572,-4.8%
Saudi Arabia,2016,584,"2.1%"
Saudi Arabia,2017,577,-1.2%
Saudi Arabia,2018,537,-6.9%
Saudi Arabia,2019,356,-33.7%
Saudi Arabia,2020,444,"24.7%"
Saudi Arabia,2021,444,"0.0%"
Saudi Arabia,2022,479,"7.9%"
Saudi Arabia,2024,604,"26.1%"
Senegal,2023,0,—
Senegal,2024,2,рост с 0 до 2 студентов
Serbia,2007,10,—
Serbia,2008,18,"80.0%"
Serbia,2009,20,"11.1%"
Serbia,2010,26,"30.0%"
Serbia,2011,22,-15.4%
Serbia,2012,24,"9.1%"
Serbia,2013,24,"0.0%"
Serbia,2014,26,"8.3%"
Serbia,2015,93,"257.7%"
Serbia,2016,93,"0.0%"
Serbia,2017,120,"29.0%"
Serbia,2018,123,"2.5%"
Serbia,2019,130,"5.7%"
Serbia,2020,140,"7.7%"
Serbia,2021,130,-7.1%
Serbia,2022,131,"0.8%"
Serbia,2023,189,"44.3%"
Serbia,2024,342,"81.0%"
Sint Maarten (Dutch part),2012,1,—
Sint Maarten (Dutch part),2014,0,-100.0%
Sint Maarten (Dutch part),2015,0,"0%"
Sint Maarten (Dutch part),2017,0,"0%"
Slovakia,2000,28,—
Slovakia,2001,35,"25.0%"
Slovakia,2002,47,"34.3%"
Slovakia,2003,32,-31.9%
Slovakia,2004,26,-18.8%
Slovakia,2005,24,-7.7%
Slovakia,2006,14,-41.7%
Slovakia,2007,21,"50.0%"
Slovakia,2008,35,"66.7%"
Slovakia,2009,40,"14.3%"
Slovakia,2010,28,-30.0%
Slovakia,2011,23,-17.9%
Slovakia,2012,25,"8.7%"
Slovakia,2013,63,"152.0%"
Slovakia,2014,83,"31.7%"
Slovakia,2015,99,"19.3%"
Slovakia,2016,106,"7.1%"
Slovakia,2017,99,-6.6%
Slovakia,2018,138,"39.4%"
Slovakia,2019,228,"65.2%"
Slovakia,2020,370,"62.3%"
Slovakia,2021,580,"56.8%"
Slovakia,2022,714,"23.1%"
Slovakia,2023,961,"34.6%"
Slovakia,2024,1253,"30.4%"
Slovenia,2000,10,—
Slovenia,2001,7,-30.0%
Slovenia,2002,16,"128.6%"
Slovenia,2003,17,"6.3%"
Slovenia,2004,9,-47.1%
Slovenia,2005,10,"11.1%"
Slovenia,2006,11,"10.0%"
Slovenia,2007,14,"27.3%"
Slovenia,2008,19,"35.7%"
Slovenia,2009,28,"47.4%"
Slovenia,2010,23,-17.9%
Slovenia,2011,25,"8.7%"
Slovenia,2012,37,"48.0%"
Slovenia,2013,38,"2.7%"
Slovenia,2014,40,"5.3%"
Slovenia,2015,47,"17.5%"
Slovenia,2016,56,"19.1%"
Slovenia,2017,90,"60.7%"
Slovenia,2018,111,"23.3%"
Slovenia,2019,160,"44.1%"
Slovenia,2020,192,"20.0%"
Slovenia,2021,227,"18.2%"
Slovenia,2022,235,"3.5%"
Slovenia,2023,356,"51.5%"
South Africa,2008,0,—
South Africa,2011,62,рост с 0 до 62 студентов
South Africa,2012,23,-62.9%
South Africa,2013,30,"30.4%"
South Africa,2014,26,-13.3%
South Africa,2015,27,"3.8%"
South Africa,2016,31,"14.8%"
South Africa,2017,34,"9.7%"
South Africa,2018,34,"0.0%"
South Africa,2019,27,-20.6%
South Africa,2020,20,-25.9%
South Africa,2021,19,-5.0%
South Africa,2022,13,-31.6%
South Africa,2023,9,-30.8%
Spain,2000,93,—
Spain,2001,112,"20.4%"
Spain,2002,148,"32.1%"
Spain,2003,218,"47.3%"
Spain,2004,61,-72.0%
Spain,2005,77,"26.2%"
Spain,2006,135,"75.3%"
Spain,2007,136,"0.7%"
Spain,2008,329,"141.9%"
Spain,2009,485,"47.4%"
Spain,2010,643,"32.6%"
Spain,2011,665,"3.4%"
Spain,2012,718,"8.0%"
Spain,2013,733,"2.1%"
Spain,2016,485,-33.8%
Spain,2017,597,"23.1%"
Spain,2018,655,"9.7%"
Spain,2019,682,"4.1%"
Spain,2020,670,-1.8%
Spain,2021,678,"1.2%"
Spain,2022,717,"5.8%"
Spain,2023,781,"8.9%"
Spain,2024,798,"2.2%"
Sri Lanka,2013,0,—
Sri Lanka,2014,0,"0%"
Sri Lanka,2015,0,"0%"
Sri Lanka,2016,0,"0%"
Sri Lanka,2017,0,"0%"
Sri Lanka,2018,0,"0%"
Sri Lanka,2019,1,рост с 0 до 1 студентов
Sri Lanka,2020,0,-100.0%
Sri Lanka,2021,0,"0%"
Sri Lanka,2022,0,"0%"
Sri Lanka,2023,0,"0%"
Sweden,2000,462,—
Sweden,2001,524,"13.4%"
Sweden,2002,584,"11.5%"
Sweden,2003,643,"10.1%"
Sweden,2004,54,-91.6%
Sweden,2005,67,"24.1%"
Sweden,2006,37,-44.8%
Sweden,2007,65,"75.7%"
Sweden,2008,255,"292.3%"
Sweden,2009,385,"51.0%"
Sweden,2010,471,"22.3%"
Sweden,2011,643,"36.5%"
Sweden,2012,512,-20.4%
Sweden,2013,420,-18.0%
Sweden,2014,390,-7.1%
Sweden,2015,364,-6.7%
Sweden,2016,357,-1.9%
Sweden,2017,340,-4.8%
Sweden,2018,334,-1.8%
Sweden,2019,303,-9.3%
Sweden,2020,289,-4.6%
Sweden,2021,279,-3.5%
Sweden,2022,299,"7.2%"
Sweden,2023,292,-2.3%
Sweden,2024,307,"5.1%"
Switzerland,2000,327,—
Switzerland,2001,377,"15.3%"
Switzerland,2002,458,"21.5%"
Switzerland,2003,495,"8.1%"
Switzerland,2004,571,"15.4%"
Switzerland,2005,609,"6.7%"
Switzerland,2006,573,-5.9%
Switzerland,2007,609,"6.3%"
Switzerland,2008,638,"4.8%"
Switzerland,2009,675,"5.8%"
Switzerland,2010,719,"6.5%"
Switzerland,2011,792,"10.2%"
Switzerland,2012,873,"10.2%"
Switzerland,2013,594,-32.0%
Switzerland,2014,1021,"71.9%"
Switzerland,2015,1011,-1.0%
Switzerland,2016,975,-3.6%
Switzerland,2017,969,-0.6%
Switzerland,2018,934,-3.6%
Switzerland,2019,954,"2.1%"
Switzerland,2020,979,"2.6%"
Switzerland,2021,1026,"4.8%"
Switzerland,2022,1003,-2.2%
Switzerland,2023,1025,"2.2%"
Switzerland,2024,1048,"2.2%"
Tajikistan,2000,161,—
Tajikistan,2001,101,-37.3%
Tajikistan,2002,1451,"1336.6%"
Tajikistan,2003,599,-58.7%
Tajikistan,2004,297,-50.4%
Tajikistan,2005,88,-70.4%
Tajikistan,2006,94,"6.8%"
Tajikistan,2007,111,"18.1%"
Tajikistan,2008,162,"45.9%"
Tajikistan,2009,142,-12.3%
Tajikistan,2010,126,-11.3%
Tajikistan,2011,126,"0.0%"
Tajikistan,2012,105,-16.7%
Tajikistan,2013,107,"1.9%"
Tajikistan,2014,92,-14.0%
Tajikistan,2015,108,"17.4%"
Tajikistan,2016,121,"12.0%"
Tajikistan,2017,111,-8.3%
"Tanzania, United Republic of",2001,71,—
"Tanzania, United Republic of",2003,37,-47.9%
"Tanzania, United Republic of",2004,40,"8.1%"
"Tanzania, United Republic of",2021,0,-100.0%
"Tanzania, United Republic of",2022,0,"0%"
"Tanzania, United Republic of",2024,3,рост с 0 до 3 студентов
Thailand,2001,15,—
Thailand,2002,20,"33.3%"
Thailand,2004,14,-30.0%
Thailand,2005,20,"42.9%"
Thailand,2006,24,"20.0%"
Thailand,2007,22,-8.3%
Thailand,2008,30,"36.4%"
Thailand,2009,35,"16.7%"
Thailand,2010,47,"34.3%"
Thailand,2011,51,"8.5%"
Thailand,2012,61,"19.6%"
Thailand,2015,105,"72.1%"
Thailand,2016,149,"41.9%"
Thailand,2020,62,-58.4%
Thailand,2022,110,"77.4%"
Thailand,2023,113,"2.7%"
Thailand,2024,177,"56.6%"
Trinidad and Tobago,2000,0,—
Trinidad and Tobago,2001,0,"0%"
Trinidad and Tobago,2002,0,"0%"
Trinidad and Tobago,2003,0,"0%"
Trinidad and Tobago,2004,0,"0%"
Trinidad and Tobago,2019,1,рост с 0 до 1 студентов
Trinidad and Tobago,2021,1,"0.0%"
Trinidad and Tobago,2022,0,-100.0%
Trinidad and Tobago,2023,0,"0%"
Tunisia,2000,0,—
Tunisia,2001,0,"0%"
Tunisia,2002,0,"0%"
Tunisia,2013,7,рост с 0 до 7 студентов
Tunisia,2015,0,-100.0%
Tunisia,2016,1,рост с 0 до 1 студентов
Tunisia,2017,2,"100.0%"
Tunisia,2018,2,"0.0%"
Tunisia,2020,0,-100.0%
Tunisia,2021,0,"0%"
Tunisia,2022,1,рост с 0 до 1 студентов
Tunisia,2023,1,"0.0%"
Turkmenistan,2014,1,—
Turkmenistan,2019,1,"0.0%"
Turkmenistan,2020,1,"0.0%"
Turkmenistan,2021,1,"0.0%"
Ukraine,2005,3673,—
Ukraine,2006,4362,"18.8%"
Ukraine,2007,4534,"3.9%"
Ukraine,2008,4734,"4.4%"
Ukraine,2009,4717,-0.4%
Ukraine,2010,3931,-16.7%
Ukraine,2011,3453,-12.2%
Ukraine,2012,2990,-13.4%
Ukraine,2013,2878,-3.7%
Ukraine,2014,2930,"1.8%"
Ukraine,2015,1814,-38.1%
Ukraine,2016,1509,-16.8%
Ukraine,2017,1114,-26.2%
Ukraine,2018,783,-29.7%
Ukraine,2019,657,-16.1%
Ukraine,2020,623,-5.2%
Ukraine,2021,1191,"91.2%"
Ukraine,2023,655,-45.0%
Ukraine,2024,651,-0.6%
United Arab Emirates,2011,331,—
United Arab Emirates,2012,286,-13.6%
United States,2005,5299,—
United States,2013,4688,-11.5%
United States,2014,4885,"4.2%"
United States,2015,5203,"6.5%"
United States,2016,5156,-0.9%
United States,2017,5081,-1.5%
United States,2018,5074,-0.1%
United States,2020,4901,-3.4%
United States,2021,4466,-8.9%
United States,2023,4543,"1.7%"
Uzbekistan,2006,16,—
Uzbekistan,2007,30,"87.5%"
Uzbekistan,2008,56,"86.7%"
Uzbekistan,2009,60,"7.1%"
Uzbekistan,2010,64,"6.7%"
Uzbekistan,2011,52,-18.8%
Uzbekistan,2012,87,"67.3%"
Uzbekistan,2013,108,"24.1%"
Uzbekistan,2014,115,"6.5%"
Uzbekistan,2015,129,"12.2%"
Uzbekistan,2016,134,"3.9%"
Uzbekistan,2017,133,-0.7%
Uzbekistan,2018,174,"30.8%"
Uzbekistan,2019,220,"26.4%"
Uzbekistan,2021,442,"100.9%"
Uzbekistan,2022,572,"29.4%"
Uzbekistan,2023,648,"13.3%"
Uzbekistan,2024,750,"15.7%"
Viet Nam,2000,7,—
Viet Nam,2001,8,"14.3%"
Viet Nam,2002,13,"62.5%"
Viet Nam,2003,0,-100.0%
Viet Nam,2005,2,рост с 0 до 2 студентов
Viet Nam,2007,2,"0.0%"
Viet Nam,2008,8,"300.0%"
Viet Nam,2010,7,-12.5%
Viet Nam,2011,7,"0.0%"
Viet Nam,2012,4,-42.9%
Viet Nam,2013,17,"325.0%"
Viet Nam,2014,5,-70.6%
Viet Nam,2015,0,-100.0%
Viet Nam,2016,2,рост с 0 до 2 студентов
Viet Nam,2017,2,"0.0%"
Viet Nam,2019,7,"250.0%"
Viet Nam,2020,12,"71.4%"
Viet Nam,2021,22,"83.3%"
Viet Nam,2022,22,"0.0%"
