Страна,Год,Число студентов из РФ,Регион
Belarus,2009,2546,Europe
Belarus,2010,2543,Europe
Belarus,2011,2596,Europe
Belarus,2012,2567,Europe
Belarus,2013,2061,Europe
Belarus,2014,2128,Europe
Belarus,2015,1953,Europe
Belarus,2016,1578,Europe
Belarus,2017,1647,Europe
Belarus,2018,1952,Europe
Belarus,2019,1796,Europe
Belarus,2020,1912,Europe
Belarus,2021,1902,Europe
Belarus,2022,1756,Europe
Belarus,2023,1804,Europe
Belarus,2024,1901,Europe
Brazil,2002,4,Latin America
Brazil,2003,2,Latin America
Brazil,2004,4,Latin America
Brazil,2009,40,Latin America
Brazil,2010,33,Latin America
Brazil,2011,36,Latin America
Brazil,2012,36,Latin America
Brazil,2014,47,Latin America
Brazil,2015,38,Latin America
Brazil,2016,34,Latin America
Brazil,2017,36,Latin America
Brazil,2018,45,Latin America
Brazil,2019,44,Latin America
Brazil,2020,47,Latin America
Brazil,2021,52,Latin America
Brazil,2022,56,Latin America
Brazil,2023,58,Latin America
Brazil,2024,61,Latin America
Barbados,2001,0,Latin America
Barbados,2007,0,Latin America
Barbados,2009,1,Latin America
Barbados,2010,1,Latin America
Barbados,2011,1,Latin America
Brunei Darussalam,2000,0,Asia
Brunei Darussalam,2001,0,Asia
Brunei Darussalam,2004,0,Asia
Brunei Darussalam,2005,0,Asia
Brunei Darussalam,2006,0,Asia
Brunei Darussalam,2007,0,Asia
Brunei Darussalam,2008,0,Asia
Brunei Darussalam,2009,0,Asia
Brunei Darussalam,2010,0,Asia
Brunei Darussalam,2011,0,Asia
Brunei Darussalam,2012,1,Asia
Brunei Darussalam,2014,2,Asia
Brunei Darussalam,2015,2,Asia
Brunei Darussalam,2016,1,Asia
Brunei Darussalam,2017,1,Asia
Brunei Darussalam,2018,3,Asia
Brunei Darussalam,2019,2,Asia
Brunei Darussalam,2020,2,Asia
Brunei Darussalam,2023,0,Asia
Canada,2000,273,North America
Canada,2001,288,North America
Canada,2002,351,North America
Canada,2003,384,North America
Canada,2004,351,North America
Canada,2005,348,North America
Canada,2006,489,North America
Canada,2007,472,North America
Canada,2008,527,North America
Canada,2009,504,North America
Canada,2010,504,North America
Canada,2011,663,North America
Canada,2012,483,North America
Canada,2013,1140,North America
Canada,2014,1554,North America
Canada,2015,1647,North America
Canada,2016,1704,North America
Canada,2017,1497,North America
Canada,2018,1607,North America
Canada,2019,1383,North America
Canada,2020,1473,North America
Canada,2021,1464,North America
Canada,2022,1527,North America
Canada,2023,1242,North America
Switzerland,2000,327,Europe
Switzerland,2001,377,Europe
Switzerland,2002,458,Europe
Switzerland,2003,495,Europe
Switzerland,2004,571,Europe
Switzerland,2005,609,Europe
Switzerland,2006,573,Europe
Switzerland,2007,609,Europe
